run_kind,run_index,seed,step,operation,actor_seat,revision_before,revision_after,reference_rule_ns,authority_handle_ns,serial_codec_fanout_ns,host_local_deliveries,remote_deliveries,remote_server_payload_bytes,remote_client_payload_bytes
"sample","1","20260910","23","PLAY_ONE","2","22","23","24876","78447","1374846","1","6","9898","172"
"sample","1","20260910","24","CHALLENGE","3","23","24","18845","89307","1192995","1","6","9656","151"
"sample","1","20260910","25","ADVANCE_ROUND","0","24","25","71243","135274","1126750","2","5","9474","0"
"sample","1","20260910","26","PLAY_ONE","3","25","26","23324","100668","1384554","1","6","9733","172"
"sample","1","20260910","27","CHALLENGE","4","26","27","17934","67627","1267223","1","6","9625","151"
"sample","1","20260910","28","ADVANCE_ROUND","0","27","28","75511","137828","1585530","2","5","9479","0"
"sample","1","20260910","29","PLAY_ONE","4","28","29","28533","166993","1588926","1","6","9738","172"
"sample","1","20260910","30","CHALLENGE","5","29","30","19146","89738","1339950","1","6","9625","151"
"sample","1","20260910","31","ADVANCE_ROUND","0","30","31","77826","132268","1244872","2","5","9482","0"
"sample","1","20260910","32","PLAY_ONE","5","31","32","33272","86702","1418156","1","6","9744","172"
"sample","1","20260910","33","CHALLENGE","0","32","33","19998","76985","1233040","2","5","9345","0"
"sample","1","20260910","34","ADVANCE_ROUND","0","33","34","95509","122159","1207341","2","5","9324","0"
"sample","1","20260910","35","PLAY_ONE","0","34","35","25307","78817","1368604","2","5","9457","0"
"sample","1","20260910","36","CHALLENGE","1","35","36","19757","63218","1204907","1","6","9340","151"
"sample","1","20260910","37","ADVANCE_ROUND","0","36","37","70943","161172","1131830","2","5","9162","0"
"sample","1","20260910","38","PLAY_ONE","3","37","38","25467","74159","1344839","1","6","9422","172"
"sample","1","20260910","39","CHALLENGE","4","38","39","17132","62998","1200488","1","6","9314","151"
"sample","1","20260910","40","ADVANCE_ROUND","0","39","40","71554","179867","1381057","2","5","9163","0"
"sample","1","20260910","41","PLAY_ONE","4","40","41","25588","77996","1490493","1","6","9425","172"
"sample","1","20260910","42","CHALLENGE","0","41","42","16541","63278","1111953","2","5","9155","0"
"sample","1","20260910","43","ADVANCE_ROUND","0","42","43","75531","149009","1256924","2","5","9186","0"
"sample","1","20260910","44","PLAY_ONE","0","43","44","24906","88325","1240654","2","5","9319","0"
"sample","1","20260910","45","CHALLENGE","3","44","45","17412","59471","1153210","1","6","9376","151"
"sample","1","20260910","46","ADVANCE_ROUND","0","45","46","74911","110757","1068882","2","5","9190","0"
"sample","1","20260910","47","PLAY_ONE","3","46","47","23534","96831","1506632","1","6","9449","173"
"sample","1","20260910","48","CHALLENGE","4","47","48","21621","65583","1189789","1","6","9165","151"
"sample","1","20260910","49","ADVANCE_ROUND","0","48","49","89127","137738","1265360","2","5","9021","0"
"sample","1","20260910","50","PLAY_ONE","0","49","50","29455","82705","1231137","2","5","9154","0"
"sample","1","20260910","51","CHALLENGE","3","50","51","17883","73898","1462589","1","6","9206","151"
"sample","1","20260910","52","ADVANCE_ROUND","0","51","52","129031","91111","1077699","2","5","9035","0"
"sample","1","20260910","53","PLAY_ONE","3","52","53","25578","71814","1174891","1","6","9295","173"
"sample","1","20260910","54","CHALLENGE","0","53","54","17643","55063","1303242","2","5","9005","0"
"sample","2","20260910","0","INITIAL","0","0","0",,"6152","1263","1","0","0","0"
"sample","2","20260910","1","JOIN","1","0","1",,"62046","153267","1","1","599","192"
"sample","2","20260910","2","JOIN","2","1","2",,"54743","202399","1","2","1225","192"
"sample","2","20260910","3","JOIN","3","2","3",,"59100","361657","1","3","1998","193"
"sample","2","20260910","4","JOIN","4","3","4",,"61816","464069","1","4","2917","193"
"sample","2","20260910","5","JOIN","5","4","5",,"54462","605464","1","5","3982","193"
"sample","2","20260910","6","READY","1","5","6",,"30868","570068","1","6","4014","163"
"sample","2","20260910","7","READY","2","6","7",,"28774","740447","1","6","4009","163"
"sample","2","20260910","8","READY","3","7","8",,"29836","557033","1","6","4004","163"
"sample","2","20260910","9","READY","4","8","9",,"53540","530063","1","6","3999","163"
"sample","2","20260910","10","READY","5","9","10",,"27612","561202","1","6","4000","163"
"sample","2","20260910","11","START_GAME","0","10","11","53059","100569","996227","2","5","8655","0"
"sample","2","20260910","12","PLAY_ONE","0","11","12","24245","69100","1254059","2","5","8788","0"
"sample","2","20260910","13","PLAY_ONE","1","12","13","24887","72296","1071657","1","6","8913","172"
